user,live_date,message_selector,classes,raw
SolaireSunbro,2023-11-23 17:26:14,,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""LUL"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/3.0 4x""/></div></span></div></div></span>]"
MIDNITE967,2023-11-23 17:26:15,good thing team rocket isn’t around they’re so tricky !,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">good thing team rocket isn’t around they’re so tricky !</span></span>]"
james_791,2023-11-23 17:26:17,aged 17,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">aged 17</span></span>]"
Samurott20,2023-11-23 17:26:17,was that a monk,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">was that a monk</span></span>]"
HotGrill68,2023-11-23 17:26:17,True ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">True </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""LUL"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/3.0 4x""/></div></span></div></div></span>]"
DawnHikarii,2023-11-23 17:26:17,SUCH A DIVA,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">SUCH A DIVA</span></span>]"
RegiTheGreat,2023-11-23 17:26:19,,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""RuleFive"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/107030/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/107030/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/107030/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/107030/default/dark/3.0 4x""/></div></span></div></div></span>]"
qwerty_cheese,2023-11-23 17:26:22,77 best,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">77 best</span></span>]"
expertonnothing,2023-11-23 17:26:22,are you scottish or russian sir,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">are you scottish or russian sir</span></span>]"
vikdck,2023-11-23 17:26:24,Your Pokimon,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Your Pokimon</span></span>]"
